Row.names	degr_mono	degr_mult	betw_mono	betw_mult	clos_mono	clos_mult	eigen_mono	eigen_mult	degr	ndegr	d	betw	wbetw	clos	wclos	withinMdegr	eigen	taxon	body_size_mean	module	included_in_phylogeny	biogeographical_region	number_of_interactions	number_of_articles	botanical_source_method	predicted
22	Melipona_fasciculata	4	4	82.8722222222222	82.8722222222222	0.0072463768115942	0.0072463768115942	2.9823587670328e-17	0.291529553811708	4	0.111111111111111	0.615421241542215	0.000719622278736056	0	0.0152186761229314	0.00960163629171531	NA	0.114876955771977	bee	3.3	3	yes	Neotropical	114	4	chem_pal	0.00766604195929379
23	Melipona_favosa	2	2	20.6451640464798	18.3073083778966	0.00775193798449612	0.00775193798449612	2.41902433325994e-16	0.294933439921047	2	0.0555555555555556	0.146364840560054	0.0106995698011478	0.00112001322682287	0.0172872340425532	0.0114235601745674	0	0.143284049793492	bee	2.633	8	yes	Neotropical	3	2	chem_field	0.00735473440914258
26	Melipona_marginata	1	1	0	0	0.00694444444444444	0.00694444444444444	1.16394835213363e-16	0.169298032443618	1	0.0277777777777778	0.170199246317435	0	0	0.014701536643026	0.00844238361607514	-0.794719414239026	0.0793059511023339	bee	2.299	1	yes	Neotropical	1	1	chem	0.00720363001656249
28	Melipona_quadrifasciata	3	3	59.0073336579142	59.4691520897404	0.00847457627118644	0.00847457627118644	2.08765113692296e-16	0.360700835037844	3	0.0833333333333333	0.29242263917045	0.0125336951352367	0.0014941128828569	0.0179521276595745	0.0118442067880444	0	0.224086391981787	bee	3.2105	9	yes	Neotropical	48	9	chem_field_pal	0.00762351635563695
29	Melipona_scutellaris	4	4	111.698437875334	115.646896975573	0.00961538461538462	0.00961538461538462	2.96579010721595e-16	0.457649416438032	4	0.111111111111111	0.279396597155763	0.0339639155527292	0.0157121855534294	0.0197251773049645	0.0143230515929214	-0.707106781186547	0.294389857591318	bee	3.912	6	yes	Neotropical	4	3	chem_field	0.00796325798351024
30	Melipona_seminigra	1	1	0	0	0.00671140939597315	0.00671140939597315	9.73408764239872e-17	0.200200973684949	1	0.0277777777777778	0.224243824217575	0	0	0.0144060283687943	0.00834022858528426	0	0.0718850776278757	bee	3.02	3	yes	Neotropical	1	1	field	0.00753378475459455
31	Melipona_subnitida	4	4	129.091389531521	130.832070135747	0.0087719298245614	0.0087719298245614	1.92196453875447e-16	0.43374876184989	4	0.111111111111111	0.349631951971531	0.0354529169156392	0.0120443327140244	0.018395390070922	0.0126186271833023	2.26778683805536	0.243141401227958	bee	3.05	3	no	Neotropical	84	3	chem_pal	0.00754784532843041
33	Paratrigona_anduzei	1	1	0	0	0.00657894736842105	0.00657894736842105	1.2530048986492e-16	0.0947324662360983	1	0.0277777777777778	0.123903912041065	0	0	0.015661938534279	0.00910589260073028	0	0.0713989721656167	bee	2	8	no	Neotropical	1	1	chem	0.00707099535274076
34	Plebeia_droryana	2	2	29.001221001221	28.4063492063492	0.00769230769230769	0.00769230769230769	1.19708567176733e-16	0.202390228408912	2	0.0555555555555556	0.0755649262498179	0.0141235046743867	0.000576006802366047	0.0186170212765957	0.0113965769043727	-0.471404520791032	0.243731186663983	bee	1.476	6	yes	Neotropical	2	1	field	0.00684441484449731
35	Plebeia_emerina	1	1	0	0	0.00588235294117647	0.00588235294117647	5.34339279093377e-17	0.0410102044858365	1	0.0277777777777778	0.327268527347274	0	0	0.0136672576832151	0.00784068616508615	-0.377964473009227	0.0288154054102882	bee	1.24	7	no	Neotropical	1	1	field	0.00674475259208516
36	Plebeia_frontalis	1	1	0	0	0.00588235294117647	0.00588235294117647	5.05344124413891e-17	0.0410102044858365	1	0.0277777777777778	0.327268527347274	0	0	0.0136672576832151	0.00784068616508615	-0.377964473009227	0.0288154054102882	bee	1.02	7	yes	Neotropical	1	1	field	0.00665315448315921
37	Plebeia_lucii	1	1	0	0	0.00657894736842105	0.00657894736842105	1.09974479534335e-16	0.0947324662360983	1	0.0277777777777778	0.123903912041065	0	0	0.015661938534279	0.00910589260073028	0	0.0713989721656167	bee	1	8	no	Neotropical	1	1	field	0.0066448893219063
38	Plebeia_remota	3	3	73.2835241341046	74.1889323095205	0.00862068965517241	0.00862068965517241	2.35274969399254e-16	0.371688260852529	3	0.0833333333333333	0.0684836186839664	0.0340901523606853	0.010848890024987	0.0197251773049645	0.0127858245906147	-0.471404520791032	0.323037137766317	bee	1.865	6	no	Neotropical	3	2	chem_field	0.00701191307797167
39	Scaptotrigona_bipunctata	2	2	3.33333333333333	3.33333333333333	0.00543478260869565	0.00543478260869565	8.07722166071383e-18	0.047965936644294	2	0.0555555555555556	0.442906912565023	0.00079656862745098	0	0.0152186761229314	0.00861575399390525	0	0.115433925271716	bee	2.32	6	yes	Neotropical	1	1	chem_field	0.0072130384599663
40	Scaptotrigona_depilis	1	1	0	0	0.00657894736842105	0.00657894736842105	1.2550759811263e-16	0.0947324662360984	1	0.0277777777777778	0.123903912041065	0	0	0.015661938534279	0.00910589260073028	0	0.0713989721656167	bee	1.71	8	yes	Neotropical	2	2	chem	0.00694468640988192
42	Scaptotrigona_postica	4	3	23.9551474840949	7.10241327300151	0.0078125	0.0078125	3.0486334063002e-16	0.687062809175995	3	0.0833333333333333	0.301823659347954	0.0208442581388316	0.0244829557987161	0.0179521276595745	0.014046061824125	0	0.311699355295488	bee	2.257	3	yes	Neotropical	88	5	chem_pal	0.00718484992991369
43	Tetragona_clavipes	1	1	0	0	0.00531914893617021	0.00531914893617021	2.42834420440692e-17	0.0294766812294899	1	0.0277777777777778	0.146224172124194	0	0	0.0149970449172577	0.00856984411471926	-0.950979453828157	0.107192335528123	bee	1.886	6	yes	Neotropical	2	2	field	0.00702107112567747
44	Tetragonisca_angustula	3	3	116.278929403929	120.977326839827	0.00925925925925926	0.00925925925925926	2.70069155014637e-16	0.308656217901357	3	0.0833333333333333	0.116416946278064	0.072465560726742	0.0382297848088873	0.0197251773049645	0.013260210308641	-0.377964473009227	0.236753228711765	bee	1.257	9	yes	Neotropical	97	7	chem_field_pal	0.00675188289584681
