Row.names	degr_mono	degr_mult	betw_mono	betw_mult	clos_mono	clos_mult	eigen_mono	eigen_mult	degr	ndegr	d	betw	wbetw	clos	wclos	withinMdegr	eigen	taxon	body_size_mean	module	included_in_phylogeny	biogeographical_region	number_of_interactions	number_of_articles	botanical_source_method	predicted	se
48	Tetragonula_carbonaria	7	6	221.941335263576	242	NA	0.00462962962962963	1.93542324361318e-16	0.0867845399762493	6	0.0594059405940594	0.437452820206297	0.0266442739497903	0.0193131478530388	0.0164239570787255	0.00937909984098261	1.68549965615811	0.138406566504144	bee	1.109	1	yes	Indo-Malayan-Australasian	25	5	chem_field	0.1496891687429	0.185022984834986
49	Tetragonula_collina	4	4	39.81708261079	57.1451128936423	NA	0.00480769230769231	8.81322951227625e-17	0.143765649110871	4	0.0396039603960396	0.174276199343878	0.0401883407651409	0.0542737865651943	0.0179021132158108	0.00940924202678062	0.977922665943021	0.0856854152467496	bee	1.38	6	yes	Indo-Malayan-Australasian	19	4	chem_field	0.171556463697922	0.452718528962953
50	Tetragonula_fuscobalteata	1	1	0	0	NA	0.00429184549356223	1.70135485788546e-17	0.0650743031059241	1	0.0099009900990099	0.196561632232823	0	0	0.0138508704697252	0.00705257354787315	-0.889020605402746	0.00905149664925926	bee	1.006	6	yes	Indo-Malayan-Australasian	4	2	chem_field	0.142129313075163	0.185022984834986
51	Tetragonula_geissleri	4	4	26.7241375583702	29.4960678210678	NA	0.00458715596330275	7.41832987723972e-17	0.10245897222641	4	0.0396039603960396	0.321622021311123	0.0111765693318005	0.00269142690815522	0.0156027592247892	0.00772665159373266	1.9113943016159	0.0291921896421381	bee	1.915	6	yes	Indo-Malayan-Australasian	13	2	chem_field	0.224548894027505	0.452718528962953
54	Tetragonula_laeviceps	6	6	118.555369614822	133.407193786606	NA	0.00495049504950495	1.20891301703166e-16	0.158574937490065	6	0.0594059405940594	0.210700554525397	0.0864859680542096	0.126738960830103	0.0192160297821088	0.00941539334082766	1.9113943016159	0.110877008608104	bee	1.207	6	yes	Indo-Malayan-Australasian	19	6	chem_field	0.157255026837625	0.185022984834986
58	Tetragonula_pagdeni	1	1	0	0	NA	0.00346020761245675	2.35323267028179e-17	0.00788995577309143	1	0.0099009900990099	0.150474759276047	0	0	0.0134676448045549	0.00410053929504278	-0.333333333333333	0.0246201693533183	bee	0.981	8	yes	Indo-Malayan-Australasian	1	1	chem	0.140352728875948	0.452718528962953
61	Tetragonula_sapiens	2	2	8.48384660483611	8.85238095238095	NA	0.00454545454545455	5.21502249917066e-17	0.0720133319954082	2	0.0198019801980198	0.0275292348989319	0.0014926719915612	0	0.0156027592247892	0.00617612458463777	0.449466574975495	0.104046452747871	bee	3.76	1	yes	Indo-Malayan-Australasian	3	3	chem_field	0.568152950931787	0.185022984834986
62	Trigona_corvina	1	1	0	0	0.00266666666666667	0.00266666666666667	0.0410929889434325	0.0410929889434325	1	0.0099009900990099	0.150474759276047	0	0	0.0130844191393846	0.00391653981436825	-0.521852134317836	0.0432684034679876	bee	2.125	7	yes	Neotropical	1	1	field	0.249573464009564	0.452718528962953
63	Trigona_fulviventris	1	1	0	0	0.00266666666666667	0.00266666666666667	0.0410929889434325	0.0410929889434325	1	0.0099009900990099	0.150474759276047	0	0	0.0130844191393846	0.00391653981436825	-0.521852134317836	0.0432684034679876	bee	1.36	7	no	Neotropical	1	1	field	0.169838774994125	0.185022984834986
64	Trigona_recursa	21	21	435.335703818173	478.690560876583	0.00341296928327645	0.00341296928327645	0.492525899199424	0.492525899199423	21	0.207920792079208	0.268141112419522	0.0134469933724735	0.000363508770064421	0.0169166757910873	0.012053656105763	1.02647870732196	0.487629214495752	bee	1.724	4	yes	Neotropical	22	1	pal	0.203974162566202	0.452718528962953
65	Trigona_spinipes	2	2	2.91433217402358	4.80422746789367	0.00297619047619048	0.00297619047619048	0.0724978629707417	0.0724978629707417	2	0.0198019801980198	0.102766614536955	0.00717615414573935	0	0.0159312383663637	0.00603357902123823	-0.333333333333333	0.0716019724885416	bee	2.224	1	no	Neotropical	5	3	field	0.262319804012832	0.185022984834986
