Authors,Title,Year,DOI,Link
"Boisard S., Huynh T.H.T., Escalante-Erosa F., Hernández-Chavez L.I., Peña-Rodríguez L.M., Richomme P.","Unusual chemical composition of a Mexican propolis collected in Quintana Roo, Mexico [Composición química inusual de propóleos mexicano recogido en Quintana Roo, México]",2015,10.1080/00218839.2016.1169651,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966709566&doi=10.1080%2f00218839.2016.1169651&partnerID=40&md5=1876d28f66333321680b35873e2a3283
"Massaro C.F., Simpson J.B., Powell D., Brooks P.",Chemical composition and antimicrobial activity of honeybee (Apis mellifera ligustica) propolis from subtropical eastern Australia,2015,10.1007/s00114-015-1318-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983456241&doi=10.1007%2fs00114-015-1318-z&partnerID=40&md5=d77120380c09c6c77dd0b31cfce38170
"Wilson M.B., Brinkman D., Spivak M., Gardner G., Cohen J.D.",Regional variation in composition and antimicrobial activity of US propolis against Paenibacillus larvae and Ascosphaera apis,2015,10.1016/j.jip.2014.10.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949115094&doi=10.1016%2fj.jip.2014.10.005&partnerID=40&md5=b829e5db4ad1d65c39ccf9663ddcfc0b
"de Souza H.R., Corrêa A.M.S., Cruz-Barros M.A.V., de Albuquerque P.M.C.","Pollen spectrum of Scaptotrigona af. postica (Hymenoptera, Apidae, Meliponini) propolis from Barra do Corda, MA, Brazil [Espectro polínico da própolis de Scaptotrigona af. postica (Hymenoptera, Apidae, Meliponini) em Barra do Corda, MA, Brasil]",2015,10.1590/1809-4392201403663,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930017769&doi=10.1590%2f1809-4392201403663&partnerID=40&md5=4aeba9723f6e3d40673c896469aba2b9
"Kothai S., Jayanthi B.",Environmental impact on stingless bee propolis (Tetragonula iridipennis) reared from two different regions of tamilnadu – a comparative study,2015,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929501202&partnerID=40&md5=fdbc327fe6b966a598e4d21c914fb77f
"Massaro C.F., Smyth T.J., Smyth W.F., Heard T., Leonhardt S.D., Katouli M., Wallace H.M., Brooks P.",Phloroglucinols from anti-microbial deposit-resins of Australian stingless bees (Tetragonula carbonaria),2015,10.1002/ptr.5225,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920973130&doi=10.1002%2fptr.5225&partnerID=40&md5=43eb1845c80bcd0b784d54cc7f054159
"Huang S., Zhang C.-P., Wang K., Li G.Q., Hu F.-L.",Recent advances in the chemical composition of propolis,2014,10.3390/molecules191219610,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919724057&doi=10.3390%2fmolecules191219610&partnerID=40&md5=898055204ea87ac23eba8a1001fc5815
"Anderson K.E., Carroll M.J., Sheehan T., Mott B.M., Maes P., Corby-Harris V.","Hive-stored pollen of honey bees: Many lines of evidence are consistent with pollen preservation, not nutrient conversion",2014,10.1111/mec.12966,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912060292&doi=10.1111%2fmec.12966&partnerID=40&md5=2b78c921aeb8079b9a602537a64e1d42
"Drescher N., Wallace H.M., Katouli M., Massaro C.F., Leonhardt S.D.",Diversity matters: how bees benefit from different resin sources,2014,10.1007/s00442-014-3070-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908364378&doi=10.1007%2fs00442-014-3070-z&partnerID=40&md5=642d1818f3fb89c49383ec4075cf7421
"Waldner-Tomic N.M., Vanni R., Belibasakis G.N., Thurnheer T., Attin T., Schmidlin P.R.",The in vitro antimicrobial efficacy of Propolis against four oral pathogens: A review,2014,10.3390/dj2030085,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009812738&doi=10.3390%2fdj2030085&partnerID=40&md5=98f73e31d114b78fd6bda36b9eb76a49
"Dutra R.P., De Barros Abreu B.V., Cunha M.S., Batista M.C.A., Torres L.M.B., Nascimento F.R.F., Ribeiro M.N.S., Guerra R.N.M.","Phenolic acids, hydrolyzable tannins, and antioxidant activity of geopropolis from the stingless bee melipona fasciculata smith",2014,10.1021/jf404875v,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897014917&doi=10.1021%2fjf404875v&partnerID=40&md5=917487e4909df5a9b6a17a0f8d83f26a
"Boonsai P., Phuwapraisirisan P., Chanchao C.",Antibacterial activity of a cardanol from thai apis mellifera propolis,2014,10.7150/ijms.7373,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896734714&doi=10.7150%2fijms.7373&partnerID=40&md5=c783caa213bd47e4636090a0954c88a5
"Kothai S., Jayanthi B.","Evaluation of antioxidant and antimicrobial activity of stingless bee propolis (tetragonula iridipennis) of Tamilnadu, India",2014,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907479526&partnerID=40&md5=615fc48a320521436a2e8902cb081d2e
"Massaro C.F., Katouli M., Grkovic T., Vu H., Quinn R.J., Heard T.A., Carvalho C., Manley-Harris M., Wallace H.M., Brooks P.",Anti-staphylococcal activity of C-methyl flavanones from propolis of Australian stingless bees (Tetragonula carbonaria) and fruit resins of Corymbia torelliana (Myrtaceae),2014,10.1016/j.fitote.2014.03.024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899695563&doi=10.1016%2fj.fitote.2014.03.024&partnerID=40&md5=630a87b8f6d908c1cacbe5ad85ffa132
"López B.G.-C., Schmidt E.M., Eberlin M.N., Sawaya A.C.H.F.",Phytochemical markers of different types of red propolis,2014,10.1016/j.foodchem.2013.09.063,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884970806&doi=10.1016%2fj.foodchem.2013.09.063&partnerID=40&md5=cc255590777785a9c898396386c9891c
"Capucho L.C., Teixeira S.P.",Tapetal and parenchymatic anther tissues participate in polyad adhesive production in Calliandra brevipes (Leguminosae),2013,10.1016/j.sajb.2013.07.013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887822085&doi=10.1016%2fj.sajb.2013.07.013&partnerID=40&md5=dc1713199b12883cf37fb0484112b58f
"Wilson M.B., Spivak M., Hegeman A.D., Rendahl A., Cohen J.D.",Metabolomics Reveals the Origins of Antimicrobial Plant Resins Collected by Honey Bees,2013,10.1371/journal.pone.0077512,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885751157&doi=10.1371%2fjournal.pone.0077512&partnerID=40&md5=fb3b56b4317388d7f6992f4eba50c3e2
"Vargas-Sánchez R.D., Torrescano-Urrutia G.R., Sánchez-Escalante A.",Propolis: A potencial Preservation agent for the food industry [El propóleos: Conservador potencial para la industria alimentaria],2013,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890502336&partnerID=40&md5=c87549fa3e49ecd314ec4101dc4fc8eb
"Leonhardt S.D., Rasmussen C., Schmitt T.",Genes versus environment: Geography and phylogenetic relationships shape the chemical profiles of stingless bees on a global scale,2013,10.1098/rspb.2013.0680,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891499004&doi=10.1098%2frspb.2013.0680&partnerID=40&md5=5180621651c2e38be6dd4eac2d39da4e
"da Cunha M.G., Franchin M., Galvão L., de Ruiz A., de Carvalho J.E., Ikegaki M., de Alencar S.M., Koo H., Rosalen P.L.",Antimicrobial and antiproliferative activities of stingless bee Melipona scutellaris geopropolis,2013,10.1186/1472-6882-13-23,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872816678&doi=10.1186%2f1472-6882-13-23&partnerID=40&md5=ebac750330f455174eff148c92ebe0be
"Tomás-Barberán F.A., Truchado P., Ferreres F.",Flavonoids in stingless-bee and honey-bee honeys,2012,10.1007/978-1-4614-4960-7_33,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929893890&doi=10.1007%2f978-1-4614-4960-7_33&partnerID=40&md5=f58ddd6a82dd71a38bcc4602183f0238
